"sequencial_candidato","nome","numero_cadidato","UF","partido","setor_economico_receita","quantidade_doacoes","quantidade_doadores","total_receita","media_receita","recursos_de_outros_candidatos/comites","recursos_de_partidos","recursos_de_pessoas_físicas","recursos_de_pessoas_juridicas","recursos_proprios","votos","quantidade_despesas","quantidade_fornecedores","total_despesa","media_despesa","setor_economico_despesa","cargo","idade","sexo","grau","estado_civil"
"200000000259","JOSE WELLINGTON BARRETO",2323,"RN","PPS","#NULO",4,1,4550,1137.5,NA,NA,4550,NA,NA,2361,21,5,4637.75,220.845238095238,"Comércio varejista de combustíveis para veículos automotores","DEPUTADO FEDERAL",57,"MASCULINO","SUPERIOR COMPLETO","CASADO(A)"
"250000003002","ROBERTO ANTONIO ALVES",4413,"SP","PRP","#NULO",3,2,1767.5,589.166666666667,67.5,NA,NA,1700,NA,282,3,2,1767.5,589.166666666667,"#NULO","DEPUTADO FEDERAL",57,"MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO","CASADO(A)"
"190000002868","JOSIAS DA SILVA MOREIRA",4339,"RJ","PV","#NULO",4,3,1718,429.5,270,NA,1448,NA,NA,282,4,3,1718,429.5,"Atividades de organizações políticas","DEPUTADO FEDERAL",48,"MASCULINO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)"
"190000000859","AGRIMARIO VITORINO ALVES",5193,"RJ","PEN","Atividades de organizações políticas",3,1,2100,700,2100,NA,NA,NA,NA,269,3,1,2100,700,"Atividades de organizações políticas","DEPUTADO FEDERAL",46,"MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)"
"220000000241","ENEAS ROMULO DALTON DI FRANCO DE ARAUJO",1212,"RO","PDT","#NULO",12,7,19346.34,1612.195,4347.83,5508.51,9490,NA,NA,3956,20,7,19300.14,965.007,"Impressão de material para uso publicitário","DEPUTADO FEDERAL",53,"MASCULINO","SUPERIOR COMPLETO","CASADO(A)"
"250000001257","CELSO UBIRAJARA RUSSOMANNO",1000,"SP","PRB","Atividades de organizações políticas",78,16,1956049.3,25077.5551282051,1626024.3,1e+05,15835,208890,5300,1524361,2952,1104,1956049.3,662.618326558266,"#NULO","DEPUTADO FEDERAL",58,"MASCULINO","SUPERIOR COMPLETO","CASADO(A)"
"110000000306","ADRIANA GOMES CASTANHO",9080,"MT","PROS","Atividades de organizações políticas",2,2,1882.08,941.04,NA,782.08,1100,NA,NA,304,2,2,1882.08,941.04,"#NULO","DEPUTADO FEDERAL",27,"FEMININO","ENSINO FUNDAMENTAL INCOMPLETO","CASADO(A)"
"250000003509","JOSE PAULO DE MENDONÇA LEMOS",3646,"SP","PTC","Atividades de organizações políticas",6,4,995,165.833333333333,150,145,700,NA,NA,494,6,4,995,165.833333333333,"Atividades de organizações políticas","DEPUTADO FEDERAL",62,"MASCULINO","ENSINO FUNDAMENTAL COMPLETO","SOLTEIRO(A)"
"60000000595","FRANCISCO ALMINO LEITE DE MENEZES",4599,"CE","PSDB","#NULO",5,2,4862,972.4,NA,NA,362,NA,4500,1095,15,7,4810.92,320.728,"#NULO","DEPUTADO FEDERAL",73,"MASCULINO","SUPERIOR COMPLETO","CASADO(A)"
"130000001217","RODRIGO COSTA ARAUJO",4089,"MG","PSB","Atividades de organizações políticas",3,1,760,253.333333333333,760,NA,NA,NA,NA,280,3,1,760,253.333333333333,"Atividades de organizações políticas","DEPUTADO FEDERAL",34,"MASCULINO","SUPERIOR COMPLETO","CASADO(A)"
"130000001439","TANIA GERALDA DE SOUZA SILVA",3677,"MG","PTC","Atividades de organizações políticas",7,4,5508.93,786.99,4528.93,NA,980,NA,NA,99,7,4,5508.93,786.99,"Atividades de organizações políticas","DEPUTADO FEDERAL",51,"FEMININO","SUPERIOR COMPLETO","VIÚVO(A)"
"160000000797","CELIA REGINA PIONTKIEVICZ RODRIGUES DA SILVA",6500,"PR","PC do B","#NULO",6,5,3640,606.666666666667,1790,NA,1850,NA,NA,602,6,5,3640,606.666666666667,"#NULO","DEPUTADO FEDERAL",44,"FEMININO","ENSINO MÉDIO COMPLETO","CASADO(A)"
"130000001109","RENATA APARECIDA DE OLIVEIRA VIEIRA",7055,"MG","PT do B","Atividades de organizações políticas",19,4,14575.6,767.136842105263,11775.6,NA,2800,NA,NA,741,20,6,14575.6,728.78,"Atividades de organizações políticas","DEPUTADO FEDERAL",37,"FEMININO","SUPERIOR COMPLETO","CASADO(A)"
"230000000445","MARIA DAS NEVES SOUZA SILVA",6500,"RR","PC do B","#NULO",12,6,17649.83,1470.81916666667,NA,9259.43,8372,NA,18.4,195,12,6,17649.83,1470.81916666667,"#NULO","DEPUTADO FEDERAL",62,"FEMININO","ENSINO FUNDAMENTAL COMPLETO","SOLTEIRO(A)"
"250000002303","MARLON MEIRA DOS SANTOS",2813,"SP","PRTB","Atividades de organizações políticas",7,4,7305.93,1043.70428571429,300.93,450,5455,NA,1100,735,17,6,8567.33,503.960588235294,"Impressão de material para outros usos","DEPUTADO FEDERAL",44,"MASCULINO","SUPERIOR COMPLETO","SOLTEIRO(A)"
"130000001113","RODRIGO MIRANDA MENDES",7006,"MG","PT do B","Atividades de organizações políticas",12,3,9332.5,777.708333333333,7082.5,NA,1000,NA,1250,843,14,4,9332.5,666.607142857143,"Atividades de organizações políticas","DEPUTADO FEDERAL",33,"MASCULINO","SUPERIOR COMPLETO","CASADO(A)"
"20000000279","GIVALDO DE SÁ GOUVEIA CARIMBÃO",9090,"AL","PROS","Atividades de organizações políticas",22,11,1326148.6,60279.4818181818,1500,1255148.6,27500,30000,12000,82582,354,215,1323921.12,3739.89016949153,"#NULO","DEPUTADO FEDERAL",56,"MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO","CASADO(A)"
"160000001208","ISAAK JOEL PEREIRA ALMEIDA",2793,"PR","PSDC","#NULO",8,5,1276.8,159.6,805.8,NA,200,NA,271,1347,11,6,1276.8,116.072727272727,"Fabricação de letras, letreiros e placas de qualquer material, exceto luminosos","DEPUTADO FEDERAL",21,"MASCULINO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)"
"240000000247","RONALDO JOSÉ BENEDET",1509,"SC","PMDB","#NULO",159,141,1795659.98,11293.4589937107,NA,550000,189350,1044462.08,11847.9,105303,761,263,1795659.99,2359.60576872536,"#NULO","DEPUTADO FEDERAL",58,"MASCULINO","SUPERIOR COMPLETO","CASADO(A)"
"150000000497","RÔMULO JOSÉ DE GOUVEIA",5555,"PB","PSD","Atividades de organizações políticas",27,16,390634.44,14467.9422222222,12163.5,204926.4,14394.4,159150.14,NA,84820,85,35,390268.34,4591.39223529412,"#NULO","DEPUTADO FEDERAL",49,"MASCULINO","SUPERIOR COMPLETO","CASADO(A)"
"250000003680","MARCELO DE MEDEIROS CARDOSO LEITE",1557,"SP","PMDB","Atividades de organizações políticas",11,3,15589.27,1417.20636363636,12607.77,2981.5,NA,NA,NA,1022,11,3,15589.27,1417.20636363636,"Atividades de organizações políticas","DEPUTADO FEDERAL",46,"MASCULINO","SUPERIOR COMPLETO","CASADO(A)"
"190000001998","PAULO ROBERTO DUQUE ESTRADA REZENER",3122,"RJ","PHS","Atividades de organizações políticas",6,4,4598.5,766.416666666667,1512.5,NA,3086,NA,NA,1622,6,4,4598.5,766.416666666667,"Atividades de organizações políticas","DEPUTADO FEDERAL",61,"MASCULINO","SUPERIOR COMPLETO","CASADO(A)"
"210000000477","HUGUES LOUREIRO MARQUES",2860,"RS","PRTB","Atividades de organizações políticas",2,2,1010,505,NA,1000,NA,NA,10,159,4,3,2010,502.5,"#NULO","DEPUTADO FEDERAL",54,"MASCULINO","SUPERIOR INCOMPLETO","DIVORCIADO(A)"
"130000001861","LAUDENY REGINA WANDERLEY",1398,"MG","PT","Atividades de organizações políticas",4,1,2296.07,574.0175,NA,2296.07,NA,NA,NA,99,4,1,2296.07,574.0175,"Atividades de organizações políticas","DEPUTADO FEDERAL",48,"FEMININO","SUPERIOR INCOMPLETO","CASADO(A)"
"40000000093","CRISTIANE AMARAL SALES TELLES",1312,"AM","PT","Atividades de organizações políticas",15,8,15842.52,1056.168,11392.52,NA,4450,NA,NA,9775,11,5,15142.52,1376.59272727273,"Atividades de organizações políticas","DEPUTADO FEDERAL",47,"FEMININO","SUPERIOR COMPLETO","CASADO(A)"
"90000000312","CARLOS ALBERTO ALVES MENDES",4499,"GO","PRP","Atividades de organizações políticas",10,3,5152.9,515.29,3652.9,NA,1500,NA,NA,471,11,4,5152.9,468.445454545455,"Atividades de organizações políticas","DEPUTADO FEDERAL",44,"MASCULINO","SUPERIOR COMPLETO","SOLTEIRO(A)"
"30000000155","MANOEL DO NASCIMENTO CAMARA SOUZA",2800,"AP","PRTB","#NULO",8,6,6904,863,760,116,6028,NA,NA,1412,11,7,6904,627.636363636364,"Impressão de material para uso publicitário","DEPUTADO FEDERAL",54,"MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)"
"120000000120","JOHNNY GUERRA GAI",1505,"MS","PMDB","Atividades de organizações políticas",12,3,74450,6204.16666666667,21450,50000,NA,NA,3000,2258,41,30,74450,1815.85365853659,"#NULO","DEPUTADO FEDERAL",35,"MASCULINO","SUPERIOR COMPLETO","SOLTEIRO(A)"
"70000000443","EUNICE CORRÊA BARROS",7707,"DF","SD","Atividades de organizações políticas",5,4,5600,1120,1500,NA,3500,600,NA,238,10,7,5600,560,"Impressão de livros, revistas e outras publicações periódicas","DEPUTADO FEDERAL",52,"FEMININO","SUPERIOR COMPLETO","CASADO(A)"
"260000000176","UCLESIO BARRETO LIMA",1234,"SE","PDT","Impressão de material para uso publicitário",9,3,10730,1192.22222222222,9250,NA,300,1180,NA,2250,9,4,10730,1192.22222222222,"Impressão de material para uso publicitário","DEPUTADO FEDERAL",43,"MASCULINO","ENSINO MÉDIO COMPLETO","DIVORCIADO(A)"
"250000001444","ALEXANDRE DOS SANTOS RODRIGUES",4050,"SP","PSB","#NULO",95,55,191624.77,2017.10284210526,12574.27,NA,150750,NA,28300.5,19488,192,87,191624.77,998.045677083333,"#NULO","DEPUTADO FEDERAL",35,"MASCULINO","SUPERIOR COMPLETO","DIVORCIADO(A)"
"120000000034","ADEMAR VIEIRA JUNIOR",5511,"MS","PSD","Atividades de organizações políticas",35,14,314764.44,8993.26971428571,173131.83,NA,28380,80000,33252.61,15738,288,237,314679.99,1092.63885416667,"#NULO","DEPUTADO FEDERAL",36,"MASCULINO","SUPERIOR COMPLETO","CASADO(A)"
"130000001293","SIDENIR APARECIDO COELHO VENTURA",5444,"MG","PPL","#NULO",11,6,4558.86,414.441818181818,1143.06,NA,1523,NA,1892.8,1020,14,8,4557.16,325.511428571429,"Comercio varejista de artigos de armarinho","DEPUTADO FEDERAL",44,"MASCULINO","ENSINO FUNDAMENTAL COMPLETO","CASADO(A)"
"170000000035","JOAO FERNANDO PONTUAL COUTINHO",4040,"PE","PSB","#NULO",14,11,1274000,91000,NA,5e+05,9000,730000,35000,120059,288,129,1269332.12,4407.40319444444,"#NULO","DEPUTADO FEDERAL",35,"MASCULINO","SUPERIOR COMPLETO","SOLTEIRO(A)"
"130000000656","WALKYRIA DE PAULA",4554,"MG","PSDB","#NULO",13,3,35199.25,2707.63461538462,210,5069.25,NA,NA,29920,1150,36,32,35199.25,977.756944444444,"#NULO","DEPUTADO FEDERAL",70,"FEMININO","SUPERIOR COMPLETO","SOLTEIRO(A)"
"160000000762","CRISTINA FÉLIX DA SILVA",1318,"PR","PT","#NULO",6,5,6080,1013.33333333333,NA,NA,5000,NA,1080,941,9,7,6080,675.555555555556,"#NULO","DEPUTADO FEDERAL",33,"FEMININO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)"
"200000000249","MARIA IRISMAR DE MEDEIROS",3188,"RN","PHS","Atividades de organizações políticas",9,1,4299.04,477.671111111111,NA,4299.04,NA,NA,NA,160,13,4,4292.08,330.16,"Atividades de organizações políticas","DEPUTADO FEDERAL",44,"FEMININO","LÊ E ESCREVE","VIÚVO(A)"
"180000000031","AFRANIO GOMES DE SENA",2077,"PI","PSC","#NULO",4,4,3100,775,800,NA,2300,NA,NA,312,4,4,3100,775,"#NULO","DEPUTADO FEDERAL",41,"MASCULINO","SUPERIOR COMPLETO","CASADO(A)"
"250000001319","ANTONIO ADOLPHO LOBBE NETO",4512,"SP","PSDB","Atividades de organizações políticas",40,19,406480.36,10162.009,123789.71,NA,96550,145000,41140.65,77793,455,186,406480.36,893.363428571429,"#NULO","DEPUTADO FEDERAL",57,"MASCULINO","SUPERIOR COMPLETO","CASADO(A)"
"190000000436","VERACI AUGUSTO ARCANJO",5056,"RJ","PSOL","#NULO",5,3,1862,372.4,NA,NA,1170,NA,692,833,5,2,1862,372.4,"Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente","DEPUTADO FEDERAL",53,"MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)"
"190000000858","VANDERLEI GALDEANO PEREIRA JUNIOR",5155,"RJ","PEN","Atividades de organizações políticas",51,6,27110.68,531.581960784314,19310.68,NA,7800,NA,NA,1780,57,8,27060.28,474.741754385965,"Atividades de organizações políticas","DEPUTADO FEDERAL",38,"MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)"
"110000000256","JAMILSON ADRIANO DE SOUZA MOURA",5151,"MT","PEN","#NULO",11,10,9050,822.727272727273,NA,NA,9050,NA,NA,3908,12,5,9050,754.166666666667,"#NULO","DEPUTADO FEDERAL",36,"MASCULINO","SUPERIOR COMPLETO","CASADO(A)"
"20000000085","SONIA MARIA TEIXEIRA SOARES",3312,"AL","PMN","#NULO",2,2,1000,500,NA,NA,1000,NA,NA,44,2,2,1000,500,"#NULO","DEPUTADO FEDERAL",52,"FEMININO","SUPERIOR COMPLETO","CASADO(A)"
"130000001379","ADEILSON QUINTINO DE SOUSA",1750,"MG","PSL","Atividades de organizações políticas",6,3,5105,850.833333333333,1105,4000,NA,NA,NA,985,6,3,5105,850.833333333333,"Atividades de organizações políticas","DEPUTADO FEDERAL",38,"MASCULINO","ENSINO MÉDIO INCOMPLETO","CASADO(A)"
"210000000871","JOSÉ AIRTON RIBEIRO DE LIMA",1420,"RS","PTB","Atividades de organizações políticas",13,6,48690,3745.38461538462,34014,5000,4126,NA,5550,31924,58,18,48682.37,839.351206896552,"Impressão de material para outros usos","DEPUTADO FEDERAL",56,"MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)"
"140000000353","SAMUEL AUGUSTO SIQUEIRA FILHO",5151,"PA","PEN","Atividades de organizações políticas",4,4,4237,1059.25,364,1000,NA,2873,NA,917,4,3,3913,978.25,"#NULO","DEPUTADO FEDERAL",45,"MASCULINO","SUPERIOR COMPLETO","SOLTEIRO(A)"
"120000000108","CARLA CHARBEL STEPHANINI",1500,"MS","PMDB","Atividades de organizações políticas",22,12,286748,13034,122650,NA,58700,30398,75000,15505,421,191,286748,681.111638954869,"#NULO","DEPUTADO FEDERAL",49,"FEMININO","SUPERIOR COMPLETO","SEPARADO(A) JUDICIALMENTE"
"210000000656","VALDIR OZORIO",1171,"RS","PP","#NULO",7,5,12500.09,1785.72714285714,NA,5000,3000,NA,4500,1325,9,6,12500,1388.88888888889,"Serviços de acabamentos gráficos, exceto encadernação e plastificação","DEPUTADO FEDERAL",63,"MASCULINO","ENSINO FUNDAMENTAL COMPLETO","CASADO(A)"
"190000001934","ALEXANDRE CARVALHO FRANÇA",3155,"RJ","PHS","Atividades de organizações políticas",12,5,24135.77,2011.31416666667,16535.77,NA,2000,NA,5600,1288,22,7,24134.36,1097.01636363636,"Serviços de acabamentos gráficos, exceto encadernação e plastificação","DEPUTADO FEDERAL",33,"MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)"
"60000000255","DIONES DA SILVA MOURA",2711,"CE","PSDC","#NULO",2,2,750,375,NA,NA,750,NA,NA,268,2,2,750,375,"#NULO","DEPUTADO FEDERAL",25,"MASCULINO","ENSINO FUNDAMENTAL COMPLETO","SOLTEIRO(A)"
"270000000302","AGNALDO PEREIRA LIMA",3171,"TO","PHS","Atividades de organizações políticas",8,2,14648.82,1831.1025,14348.82,NA,NA,300,NA,7576,8,2,14648.82,1831.1025,"Atividades de organizações políticas","DEPUTADO FEDERAL",34,"MASCULINO","ENSINO MÉDIO INCOMPLETO","SOLTEIRO(A)"
"100000000115","RAIMUNDO FLORENCIO MONTEIRO NETO",3131,"MA","PHS","Atividades de organizações políticas",25,8,41860.77,1674.4308,19860.77,NA,22000,NA,NA,11550,105,14,41860.77,398.674,"Distribuição de energia elétrica","DEPUTADO FEDERAL",27,"MASCULINO","SUPERIOR INCOMPLETO","SOLTEIRO(A)"
"130000001954","WEDER DE OLIVEIRA MATTOS",7044,"MG","PT do B","#NULO",12,6,137500,11458.3333333333,NA,NA,31000,NA,106500,9830,168,88,137500,818.452380952381,"#NULO","DEPUTADO FEDERAL",30,"MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)"
"210000000615","LUCIANO ROBERTO GOULART MIRALES",5500,"RS","PSD","#NULO",2,2,2000,1000,NA,NA,2000,NA,NA,885,2,2,2000,1000,"#NULO","DEPUTADO FEDERAL",36,"MASCULINO","SUPERIOR INCOMPLETO","SOLTEIRO(A)"
"250000003008","SILENE ALVES DE ALMEIDA DE SOUZA",4474,"SP","PRP","Atividades de organizações políticas",4,1,312.5,78.125,312.5,NA,NA,NA,NA,278,4,1,312.5,78.125,"Atividades de organizações políticas","DEPUTADO FEDERAL",54,"FEMININO","ENSINO FUNDAMENTAL COMPLETO","CASADO(A)"
"190000001458","GALTIER DA SILVA FIGUEIRA FILHO",1575,"RJ","PMDB","Atividades de organizações políticas",8,3,5350,668.75,4350,NA,1000,NA,NA,1253,8,3,5350,668.75,"Atividades de organizações políticas","DEPUTADO FEDERAL",47,"MASCULINO","SUPERIOR COMPLETO","SOLTEIRO(A)"
"250000000346","LINDALVA MARIA DE BARROS MORTATTI",1761,"SP","PSL","#NULO",4,3,2002.55,500.6375,NA,554.55,1448,NA,NA,323,4,3,2002.55,500.6375,"#NULO","DEPUTADO FEDERAL",53,"FEMININO","ENSINO MÉDIO INCOMPLETO","CASADO(A)"
"190000000503","RICARDO CESAR TEIXEIRA PESSANHA",5038,"RJ","PSOL","#NULO",7,6,3900,557.142857142857,NA,NA,3150,NA,750,440,6,5,3900,650,"#NULO","DEPUTADO FEDERAL",50,"MASCULINO","ENSINO MÉDIO COMPLETO","VIÚVO(A)"
"180000000278","SAMIO FALCAO MENDES",3100,"PI","PHS","Atividades de organizações políticas",14,7,12485,891.785714285714,5000,6365,770,NA,350,2455,18,5,12480,693.333333333333,"Impressão de material para outros usos","DEPUTADO FEDERAL",43,"MASCULINO","SUPERIOR COMPLETO","CASADO(A)"
"120000000106","SILVANA DIAS DE SOUZA DE ALBUQUERQUE",2323,"MS","PPS","Atividades de organizações políticas",15,4,25682.75,1712.18333333333,23232.75,NA,1200,NA,1250,1369,60,31,25673.52,427.892,"#NULO","DEPUTADO FEDERAL",39,"FEMININO","ENSINO FUNDAMENTAL COMPLETO","CASADO(A)"
"190000002462","NEIDE MARIA NERES TINOCO",1255,"RJ","PDT","Atividades de organizações políticas",7,4,5922.5,846.071428571429,1222.5,4000,700,NA,NA,1124,6,3,1922.5,320.416666666667,"Atividades de organizações políticas","DEPUTADO FEDERAL",50,"FEMININO","ENSINO MÉDIO COMPLETO","DIVORCIADO(A)"
"250000000122","GENILSON DOS SANTOS",1730,"SP","PSL","#NULO",13,5,6773.3,521.023076923077,810.8,NA,3962.5,NA,2000,607,12,6,6773.3,564.441666666667,"Atividades de organizações políticas","DEPUTADO FEDERAL",43,"MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)"
"250000000608","ALEXANDRO DE ARAUJO",1351,"SP","PT","Atividades de organizações políticas",38,15,122262.8,3217.44210526316,101812.8,NA,5950,NA,14500,10549,166,72,122124.08,735.687228915663,"#NULO","DEPUTADO FEDERAL",38,"MASCULINO","SUPERIOR COMPLETO","CASADO(A)"
"190000000437","VALDINEI MEDINA MACHADO",5021,"RJ","PSOL","#NULO",4,4,2750,687.5,NA,NA,2750,NA,NA,1212,4,4,2750,687.5,"#NULO","DEPUTADO FEDERAL",33,"MASCULINO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)"
"250000000664","VICENTE CANDIDO DA SILVA",1301,"SP","PT","Atividades de organizações políticas",193,55,4058648.54,21029.2670466321,331210.19,1313625,786400,1343413.35,284000,117652,1783,874,5073691.42,2845.59249579361,"#NULO","DEPUTADO FEDERAL",54,"MASCULINO","SUPERIOR COMPLETO","CASADO(A)"
"130000000876","LUANA CAXEADO SILVA",1392,"MG","PT","Atividades de organizações políticas",4,1,2296.07,574.0175,NA,2296.07,NA,NA,NA,149,4,1,2296.07,574.0175,"Atividades de organizações políticas","DEPUTADO FEDERAL",27,"FEMININO","SUPERIOR COMPLETO","SOLTEIRO(A)"
"190000000359","IGUARACIRA DE JESUS SANTOS MARINHO",1740,"RJ","PSL","#NULO",2,2,700,350,NA,NA,700,NA,NA,79,2,2,700,350,"#NULO","DEPUTADO FEDERAL",58,"FEMININO","SUPERIOR COMPLETO","DIVORCIADO(A)"
"130000000391","JOSIAS DE AGUIAR RIBEIRO",1245,"MG","PDT","#NULO",16,5,11212.03,700.751875,1455,4000,2000,973.03,2784,4083,18,12,11212.03,622.890555555556,"#NULO","DEPUTADO FEDERAL",52,"MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)"
"100000000507","HAMIN RACHID TRABULSI",1780,"MA","PSL","#NULO",7,4,50060,7151.42857142857,NA,NA,18000,NA,32060,132,8,7,50060,6257.5,"#NULO","DEPUTADO FEDERAL",38,"MASCULINO","SUPERIOR COMPLETO","SOLTEIRO(A)"
"190000001426","FERNANDO ANTONIO CECILIANO JORDÃO",1550,"RJ","PMDB","Atividades de organizações políticas",30,8,721285,24042.8333333333,44135,1e+05,100,577050,NA,47188,158,56,721246.78,4564.85303797468,"#NULO","DEPUTADO FEDERAL",62,"MASCULINO","SUPERIOR COMPLETO","CASADO(A)"
"210000000102","JOSÉ ALBERTO FOGAÇA DE MEDEIROS",1510,"RS","PMDB","#NULO",138,129,460600,3337.68115942029,51000,142500,45500,221600,NA,103006,194,82,460542.63,2373.93108247423,"#NULO","DEPUTADO FEDERAL",67,"MASCULINO","SUPERIOR COMPLETO","CASADO(A)"
"190000002142","ALMIR NAPOLEAO",2729,"RJ","PSDC","#NULO",37,25,57120.5,1543.7972972973,10360.5,10000,36760,NA,NA,3133,60,32,57110.5,951.841666666667,"#NULO","DEPUTADO FEDERAL",55,"MASCULINO","SUPERIOR INCOMPLETO","CASADO(A)"
"190000001489","VIRGÍLIO EDERSON LAGRIMANTE",5515,"RJ","PSD","#NULO",10,4,33502.5,3350.25,NA,2002.5,1500,NA,30000,2321,37,23,33502.5,905.472972972973,"#NULO","DEPUTADO FEDERAL",63,"MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)"
"250000001755","ALDO JOSIAS DOS SANTOS",5065,"SP","PSOL","#NULO",26,17,15695.68,603.68,400,NA,8672,NA,6623.68,2466,42,12,15695.17,373.694523809524,"Atividades de organizações sindicais","DEPUTADO FEDERAL",61,"MASCULINO","SUPERIOR COMPLETO","CASADO(A)"
"250000001400","ODECIO BRAGA DE LOUREDO FILHO",2551,"SP","DEM","Atividades de organizações políticas",3,2,10709.46,3569.82,NA,5709.46,5000,NA,NA,960,33,20,10709.46,324.529090909091,"Atividades de organizações políticas","DEPUTADO FEDERAL",65,"MASCULINO","SUPERIOR COMPLETO","CASADO(A)"
"170000000051","JARBAS DE ANDRADE VASCONCELOS",1515,"PE","PMDB","#NULO",60,49,1979036,32983.9333333333,NA,893486,170250,915300,NA,227470,862,288,1978511.88,2295.25740139211,"#NULO","DEPUTADO FEDERAL",72,"MASCULINO","SUPERIOR COMPLETO","DIVORCIADO(A)"
"190000000684","ANDRÉ VANCE",7022,"RJ","PT do B","#NULO",1,1,600,600,NA,NA,NA,NA,600,3598,3,3,600,200,"#NULO","DEPUTADO FEDERAL",39,"MASCULINO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)"
